nan,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT,App_Name,IVT_Label
,2025-09-11 14:00:00,3535,3535,17,3577,1.01188118811881,0,0,1.0,207.941176470588,0.010695,Valid 1,Non-IVT
,2025-09-11 15:00:00,7254,7254,17,7361,1.01475048249242,0,0,1.0,426.705882352941,0.0,Valid 1,Non-IVT
,2025-09-11 16:00:00,13737,13737,17,14073,1.02445948897139,0,0,1.0,808.058823529412,0.0,Valid 1,Non-IVT
,2025-09-11 17:00:00,13800,13800,18,14074,1.01985507246377,0,0,1.0,766.666666666667,0.00625,Valid 1,Non-IVT
,2025-09-11 18:00:00,8696,8696,19,8796,1.0114995400184,0,0,1.0,457.684210526316,0.0,Valid 1,Non-IVT
,2025-09-11 19:00:00,8182,8182,20,8273,1.01112197506722,0,0,1.0,409.1,0.00578,Valid 1,Non-IVT
,2025-09-11 20:00:00,10707,10707,17,10860,1.01428971700757,0,0,1.0,629.823529411765,0.0,Valid 1,Non-IVT
,2025-09-11 21:00:00,9634,9634,17,9752,1.01224828731576,0,0,1.0,566.705882352941,0.004695,Valid 1,Non-IVT
,2025-09-11 22:00:00,12420,12420,19,12576,1.01256038647343,0,0,1.0,653.684210526316,0.0,Valid 1,Non-IVT
,2025-09-11 23:00:00,9843,9843,20,9938,1.00965152900538,0,0,1.0,492.15,0.007143,Valid 1,Non-IVT
,2025-09-12 00:00:00,11655,11655,21,11806,1.01295581295581,0,0,1.0,555.0,0.006897,Valid 1,Non-IVT
,2025-09-12 01:00:00,9083,9083,20,9124,1.00451392711659,0,0,1.0,454.15,0.001664,Valid 1,Non-IVT
,2025-09-12 02:00:00,11817,11817,18,11932,1.00973174240501,0,0,1.0,656.5,0.004255,Valid 1,Non-IVT
,2025-09-12 03:00:00,25881,25880,18,26539,1.02542405625749,0,0,1.00003863987635,1437.83333333333,0.00464,Valid 1,Non-IVT
,2025-09-12 04:00:00,15818,15818,17,16030,1.01340245290176,0,0,1.0,930.470588235294,0.004264,Valid 1,Non-IVT
,2025-09-12 05:00:00,13769,13769,18,13952,1.01329072554289,0,0,1.0,764.944444444445,0.001901,Valid 1,Non-IVT
,2025-09-12 06:00:00,13543,13542,19,13852,1.02281621501883,0,0,1.00007384433614,712.789473684211,0.0,Valid 1,Non-IVT
,2025-09-12 07:00:00,17360,17358,19,18165,1.04637096774194,0,0,1.00011522064754,913.684210526316,0.010695,Valid 1,Non-IVT
,2025-09-12 08:00:00,14197,14196,19,14872,1.04754525604001,0,0,1.00007044237813,747.210526315789,0.0,Valid 1,Non-IVT
,2025-09-12 09:00:00,15449,15447,20,16408,1.06207521522429,0,0,1.00012947497896,772.45,0.0,Valid 1,Non-IVT
,2025-09-12 10:00:00,15762,15759,18,16853,1.06921710442837,0,0,1.0001903674091,875.666666666667,0.00625,Valid 1,Non-IVT
,2025-09-12 11:00:00,14982,14977,20,16195,1.08096382325457,0,0,1.00033384522935,749.1,0.0,Valid 1,Non-IVT
,2025-09-12 12:00:00,14869,14868,21,16045,1.07909072567086,0,0,1.00006725854183,708.047619047619,0.00578,Valid 1,Non-IVT
,2025-09-12 13:00:00,15071,15069,18,16161,1.07232433149758,0,0,1.00013272280841,837.277777777778,0.0,Valid 1,Non-IVT
,2025-09-12 14:00:00,20486,20483,20,21779,1.06311627452895,0,0,1.00014646292047,1024.3,0.004695,Valid 1,Non-IVT
,2025-09-12 15:00:00,12651,12651,19,13017,1.02893051932654,0,0,1.0,665.842105263158,0.0,Valid 1,Non-IVT
,2025-09-12 16:00:00,12936,12936,19,13263,1.02527829313544,0,0,1.0,680.842105263158,0.007143,Valid 1,Non-IVT
,2025-09-12 17:00:00,13394,13394,19,13708,1.0234433328356,0,0,1.0,704.947368421053,0.006897,Valid 1,Non-IVT
